,name,link,title
47,thehill,http://thehill.com/homenews/administration/409074-the-memo-gop-risks-disaster-with-kavanaugh-midterms,"The Memo: GOP risks disaster with Kavanaugh, midterms"
48,thehill,http://thehill.com/policy/finance/408994-how-the-trump-tax-law-passed-the-lobbying-frenzy,How the Trump tax law passed: The lobbying frenzy
49,thehill,http://thehill.com/homenews/campaign/409033-dem-governor-hopefuls-see-winning-issue-in-medicaid-expansion,Dem governor hopefuls see winning issue in Medicaid expansion
50,thehill,http://thehill.com/homenews/senate/409043-kavanaugh-confirmation-faces-fresh-uncertainties,Kavanaugh confirmation faces fresh uncertainties
51,thehill,http://thehill.com/homenews/senate/409054-how-flake-came-to-secure-kavanaugh-delay,How Flake came to secure Kavanaugh delay
52,thehill,http://thehill.com/homenews/news/409089-american-bar-association-questioned-kavanaughs-professional-experience-freedom,Call for FBI probe draws attention to association's past Kavanaugh concerns
53,thehill,http://thehill.com/homenews/senate/409088-fbi-reaches-out-to-kavanaugh-accuser-deborah-ramirez,FBI reaches out to second Kavanaugh accuser Deborah Ramirez
54,thehill,http://thehill.com/homenews/senate/409077-flake-plans-to-support-kavanaugh-after-fbi-investigates-unless-they-turn-up,Flake plans to support Kavanaugh after FBI investigates ‘unless they turn up something’
55,thehill,http://thehill.com/homenews/senate/409041-lawyer-for-kavanaugh-accuser-fbi-probe-should-not-have-artificial-limits,Lawyer for Kavanaugh accuser: FBI probe should not have 'artificial' limits
56,thehill,http://thehill.com/homenews/house/409082-pelosi-on-impeaching-kavanaugh-if-hes-lying-hes-not-fit-for-court-hes-on-now,Pelosi on impeaching Kavanaugh: If he's lying 'he's not fit' for court he's on now
57,thehill,http://thehill.com/policy/international/409087-rebel-attacks-threaten-to-help-ebola-spread-across-border,Rebel attacks threaten to help Ebola spread across border
58,thehill,http://thehill.com/blogs/blog-briefing-room/news/409100-white-house-limiting-scope-of-fbi-investigation,White House limiting scope of FBI investigation: report
